employee_id,full_name,email,phone,hire_date,role,shift,salary,is_active,supervisor
933c88e4-ad51-46d3-9d88-0da63c23b5bc,Michael Macias,anthony85@example.net,458-674-7638,2017-10-13,Data Entry,Morning,96123.49,true,Rachel Simmons
2edfaba3-3aa8-401f-b1a9-9c3ddb6386c6,Samantha Thomas,wbridges@example.net,851.597.9456,2021-02-09,Inventory Analyst,Night,99653.36,false,Kimberly Moore
70d52840-36d7-479a-b0fd-b049be609bfa,James Taylor,foxconnor@example.com,986-669-6119,2019-08-09,Data Entry,Night,92946.06,True,Melissa Becker
3b9282fa-a141-4b57-b62a-2a2bf450504e,Matthew Cantu,zrobinson@example.org,976-478-2013x67328,2023-05-11,Delivery Driver,Morning,71622.67,False,Daniel Smith
b7f27837-42b1-4838-a8dc-85f8652ea05c,Sharon Diaz,sextonmartha@example.net,598-623-2788x974,2020-08-16,Data Entry,Evening,85308.81,true,Ashley Potter
44ec231e-299a-43ee-83ed-31c7ed044a92,Molly Stein,lsolis@example.net,633.842.6523x742,2022-01-25,Inventory Analyst,Morning,99146.28,true,Megan Valenzuela
4e0478f7-ebc1-457b-b37b-0f3329b63848,Juan Aguirre,doughertycourtney@example.net,+1-880-436-0772x00543,2018-12-11,Data Entry,Night,60504.0,1,Rachel Jimenez
c62fbe0a-07da-40d1-8a33-02e98dee3af4,Ashley Morris,robert11@example.org,001-492-270-7157x614,2021-09-26,Data Entry,Morning,116834.72,False,Brittany Howard
39a3d535-0051-4b11-84ca-37161155c1d7,Kim Taylor,sreid@example.net,580-577-6840x301,2018-02-08,Warehouse Manager,Morning,64605.61,true,Dennis Hall
df56b79b-caec-4a42-b705-a77a1c6ada7d,Sylvia Hartman,griffinjessica@example.org,3693043511,2017-10-16,Data Entry,Night,88905.13,False,Kyle Martin
5f7f9b27-2aa5-42c1-9a74-3fab0609971a,Zachary Lewis,mhouston@example.com,6853525140,2022-04-29,Delivery Driver,Morning,61625.26,0,Allen Frank
7ecb2301-f38f-4f41-ac92-a6edee7ae62b,Bradley Best,richardsonjames@example.org,481.884.4683x15772,2016-02-01,Support Staff,Night,68435.16,0,Joanne Richardson
bd1917b7-f259-4b85-830e-cdf45dd850df,Melissa Robertson,gouldandrew@example.net,879-261-2331x7429,2022-12-22,Warehouse Manager,Evening,50050.27,true,Maria Hahn
6592302d-aba3-4be8-8e82-ee7d74bdfc2d,Cindy Guzman,vsoto@example.net,001-609-965-1282x7523,2024-09-26,Support Staff,Morning,91444.86,0,Adam Johns
a4f564ae-46aa-46d4-8590-3a16d523257e,Cheryl Wade,joshuayoung@example.org,316.256.3233x04632,2024-06-22,Warehouse Manager,Night,61440.35,True,Jason Taylor
e6845236-9397-49a1-99ee-59d1a5f696a1,Melissa Garrett,bakermelanie@example.net,(592)768-1232x9931,2018-01-18,Inventory Analyst,Morning,75996.64,True,Kevin Barrett
1c61d62e-e458-480b-8cb8-40b2b3ed7c7d,Sean Willis,sherry18@example.com,525-821-9613,2025-03-08,Delivery Driver,Night,90698.42,True,Hannah Sosa
8f5f2c02-76c3-4f6c-8e56-ff4d12faae60,Carolyn Hunt,montoyalauren@example.com,(500)421-9774x602,2021-10-08,Delivery Driver,Night,71382.44,1,Jeffrey Ramirez
737c8349-c008-41fc-a921-f88cdb424333,Allison Watson,ashley20@example.net,+1-829-466-7580,2015-07-17,Support Staff,Night,50126.76,0,Annette Abbott
60428b7d-6250-4912-ab28-0717ccdc5a5b,Melissa Hernandez,reeveschristopher@example.com,632.504.9843x5502,2020-01-08,Warehouse Manager,Morning,69678.12,false,Robert Roberts
7e358962-0101-4f90-979d-3b16e1f0b326,Michael Stewart,cward@example.com,424.867.3961x8876,2025-04-05,Delivery Driver,Night,111936.29,true,Daniel Gordon
1fd9e554-11af-41fc-b02f-788c45b81e07,Aaron Young,sarahhicks@example.com,(923)929-6672x706,2019-09-15,Support Staff,Night,118012.14,false,Jacob Watkins
90266df0-b672-4ac7-a48f-4e5c209f1759,Danielle Hernandez,curtis45@example.net,6492116602,2018-02-23,Delivery Driver,Morning,103925.44,0,Derrick Jones
df88340e-998c-430d-88e7-af40fdb11dcb,Rachel Gaines,omarshall@example.com,416-481-5053,2023-11-26,Delivery Driver,Night,49716.46,0,Brandon Richmond
42b81939-18e5-471b-b564-eabefa075d5c,Michael Martin,gcrane@example.net,2243864822,2016-09-08,Data Entry,Evening,90669.84,0,Michelle Brewer
3b0aa23c-8155-4322-8f3c-7cbb9b687b40,Melanie Sullivan,hoodmichelle@example.com,733-343-4313x3096,2023-11-15,Warehouse Manager,Evening,105880.01,true,Carl Johnson
5fba6aa3-29f5-4e40-bd41-6c83ae2d36a7,Rita Hartman,belljamie@example.org,674.420.7772,2016-06-30,Delivery Driver,Morning,89961.62,true,Joseph Moreno
a43581cb-4bd5-4b3c-88f0-1d78fd721e6c,Vanessa Gutierrez,davidlindsey@example.net,(459)641-7901x21571,2024-02-29,Support Staff,Evening,114764.64,False,Edward Townsend
f135c35a-7f72-4755-99d3-256e9e16c205,Katie Bailey,braykyle@example.net,001-946-359-8949x2210,2021-01-06,Delivery Driver,Night,66208.73,false,Richard King
329ef04a-0e86-4ac5-b202-dc0566c414d3,David Harrington,znicholson@example.net,686.341.8840,2015-12-11,Delivery Driver,Morning,44084.68,False,Henry Gallagher
7877e2df-df69-42bb-b01c-d6483b89edcc,Heather Walker,tharmon@example.org,543-269-1802,2017-10-19,Warehouse Manager,Evening,115614.33,0,David Allison
3de13f2a-309a-4d4d-bd2e-45bed16cdbec,Shannon White,wbaker@example.net,(584)451-7163x252,2022-06-21,Warehouse Manager,Night,101535.92,false,Sharon Smith
e30e7c85-55be-499c-b435-fab87994a15c,Howard Greene,theresa29@example.net,2749787411,2019-12-25,Warehouse Manager,Evening,116310.72,true,Diana Nguyen
700eae27-90e7-4990-a0a8-9e82af3e7072,Jeffrey Osborn,oherrera@example.net,827-780-6161x4662,2019-05-13,Inventory Analyst,Morning,83199.79,false,Samuel Reyes
d90e4b51-35ae-49fa-8bfc-ceebe452b9a0,Corey Price,perezashley@example.net,919-968-1175,2020-06-15,Data Entry,Evening,88214.69,False,Ruben Cox
72d05e97-f7cd-4c9f-92c0-004092c35ab0,Melvin Shepherd,ilong@example.net,533.854.9317,2024-01-11,Warehouse Manager,Night,52368.08,false,David Castro
d582ab2c-2e66-4507-bfc2-009f3e9de539,Mrs. Ashley Nelson,beasleyalison@example.com,001-789-241-5230,2016-03-11,Inventory Analyst,Evening,103065.23,0,Lori Mcdonald
962c76d6-fe19-4cdf-abe5-b567476ba64e,Daniel Howell,juliemullins@example.net,(441)380-5776x465,2018-10-18,Warehouse Manager,Evening,116896.83,false,Christina Vaughn
da91ff3e-0498-4c48-84fd-e79dc2e74b51,Kevin Anderson DDS,stewartsheila@example.org,724.308.1562x21525,2023-06-18,Inventory Analyst,Evening,47630.15,1,Tamara Shaw
d72f5732-8e52-4a09-8b36-7414b8a3b284,Kevin Sanchez,diane19@example.com,944.526.5561x532,2017-08-26,Inventory Analyst,Evening,51436.31,True,Sarah Webb
75a952b1-c0c9-44ed-b5b1-975997ff6ec4,Olivia Cochran,michael24@example.com,001-357-710-6072x788,2022-07-21,Data Entry,Evening,71342.83,1,Janet Spencer
0f9d51ce-fef6-4cb3-a373-96f340d374a8,Jacob Cox,laura20@example.org,001-803-428-2638x8909,2020-02-09,Delivery Driver,Morning,40246.2,0,Tina Mcintosh
99a65744-0f19-4070-819b-a07d17bb69f4,James Cain,smithcarla@example.org,3885511577,2024-02-23,Support Staff,Evening,55743.26,true,Joel Hernandez
c7e6d66a-d767-4edd-9f8c-576ccb77779a,Rachel Estrada,smithrandall@example.com,001-216-258-9340x2279,2017-06-29,Warehouse Manager,Morning,80978.16,0,Abigail Myers
a6240387-ff6f-4e3c-a47d-8c784634e2e8,Ashley Wells,katiebeard@example.com,(595)300-8023x6478,2016-10-24,Support Staff,Morning,116185.22,True,Nicholas Williams
